Month,pushchair,buggy,pram,stroller,combined
2015-01,16,26,30,13,80
2015-02,13,24,27,12,73
2015-03,14,23,27,12,73
2015-04,16,26,29,14,80
2015-05,14,25,29,14,77
2015-06,14,26,29,13,79
2015-07,15,26,32,15,84
2015-08,15,26,33,14,83
2015-09,13,24,32,12,81
2015-10,13,21,32,12,77
2015-11,12,20,33,11,72
2015-12,12,19,28,9,71
2016-01,16,25,36,17,88
2016-02,16,24,33,16,84
2016-03,16,25,33,16,85
2016-04,16,26,34,19,90
2016-05,17,26,35,19,89
2016-06,16,24,34,19,87
2016-07,16,27,36,21,98
2016-08,16,27,38,20,95
2016-09,18,25,38,19,97
2016-10,15,24,41,14,88
2016-11,14,22,41,14,84
2016-12,12,21,32,12,73
2017-01,16,27,39,19,94
2017-02,15,24,34,18,85
2017-03,15,25,35,21,89
2017-04,16,26,35,22,91
2017-05,15,26,35,20,95
2017-06,15,25,36,19,86
2017-07,16,27,39,22,99
2017-08,16,29,39,22,98
2017-09,15,24,40,19,91
2017-10,14,22,41,15,84
2017-11,14,22,41,15,87
2017-12,12,19,33,13,70
2018-01,16,26,39,23,97
2018-02,15,24,34,18,85
2018-03,14,24,34,19,84
2018-04,16,27,38,23,96
2018-05,17,28,37,23,97
2018-06,16,27,36,21,94
2018-07,16,27,38,22,95
2018-08,16,27,41,22,100
2018-09,15,25,39,19,93
2018-10,12,21,38,16,83
2018-11,13,21,41,16,85
2018-12,11,18,35,13,74
2019-01,15,24,38,20,92
2019-02,14,23,34,19,84
2019-03,14,23,34,21,91
2019-04,15,26,34,24,95
2019-05,15,25,34,23,90
2019-06,14,25,34,23,91
2019-07,15,27,36,24,97
2019-08,15,26,38,26,98
2019-09,13,23,36,22,90
2019-10,12,21,37,18,80
2019-11,13,19,40,19,88
2019-12,11,17,31,18,73
2020-01,14,22,36,24,89
2020-02,12,21,31,22,78
2020-03,7,14,24,14,57
2020-04,7,15,27,11,57
2020-05,10,19,32,15,70
2020-06,11,20,34,17,74
2020-07,12,22,34,22,82
2020-08,12,22,34,20,90
2020-09,11,21,34,19,80
2020-10,10,18,34,17,74
2020-11,9,17,37,16,72
2020-12,8,15,29,14,64
2021-01,10,19,34,16,75
2021-02,10,18,32,17,73
2021-03,12,20,34,21,80
2021-04,13,22,36,23,88
2021-05,12,20,33,21,82
2021-06,12,21,34,24,84
2021-07,12,20,33,22,83
2021-08,14,23,37,23,93
2021-09,13,20,39,23,91
2021-10,10,19,38,20,84
2021-11,11,18,38,20,83
2021-12,9,16,31,17,64
2022-01,14,23,37,24,90
2022-02,12,20,32,22,81
2022-03,13,22,35,26,91
2022-04,14,23,33,26,88
2022-05,13,23,35,26,87
2022-06,13,23,34,26,90
2022-07,14,24,35,27,91
2022-08,13,25,37,26,95
2022-09,11,20,36,22,86
2022-10,11,18,37,20,78
2022-11,10,17,34,18,77
2022-12,8,14,29,16,66
2023-01,12,19,34,22,81
2023-02,11,20,34,22,80
2023-03,11,19,32,21,75
2023-04,12,20,34,25,86
2023-05,14,23,35,26,94
2023-06,12,23,35,25,95
2023-07,12,22,35,23,85
2023-08,12,23,37,22,86
2023-09,11,23,33,21,85
2023-10,9,19,35,17,78
2023-11,10,18,37,18,75
2023-12,8,15,30,15,67
2024-01,11,19,35,21,81
2024-02,10,18,32,21,79
2024-03,10,20,33,23,82
2024-04,10,21,34,25,86
2024-05,10,22,36,25,88
2024-06,10,20,33,23,83
2024-07,10,21,36,23,84
2024-08,11,22,36,24,89
2024-09,10,20,34,20,77
2024-10,9,18,34,17,75
2024-11,9,18,38,17,79
2024-12,8,14,31,15,66
2025-01,8,18,35,20,80
2025-02,9,18,32,20,76
2025-03,10,20,35,23,83
2025-04,10,22,36,25,89
2025-05,9,22,36,24,88
2025-06,9,21,37,22,84
2025-07,9,22,36,23,85
2025-08,11,23,39,23,90
2025-09,9,19,30,19,73
