Month,pushchair,buggy,pram,stroller,combined_shop_search_terms
2015-01,17,16,26,19,68
2015-02,16,21,23,20,72
2015-03,15,19,23,22,74
2015-04,19,18,27,23,77
2015-05,19,21,23,17,72
2015-06,12,18,23,17,66
2015-07,19,21,27,20,78
2015-08,13,23,29,19,78
2015-09,16,17,28,16,69
2015-10,16,18,32,17,77
2015-11,13,15,30,16,68
2015-12,12,15,27,14,61
2016-01,18,24,33,25,95
2016-02,21,23,32,30,97
2016-03,20,24,33,25,93
2016-04,21,22,33,28,97
2016-05,22,23,34,28,100
2016-06,21,22,34,28,95
2016-07,20,22,34,27,95
2016-08,21,23,36,29,99
2016-09,20,23,36,25,98
2016-10,15,17,36,21,83
2016-11,13,15,33,15,70
2016-12,12,13,27,13,59
2017-01,17,19,32,24,86
2017-02,16,21,31,24,83
2017-03,20,22,32,27,95
2017-04,19,22,33,29,94
2017-05,17,20,34,28,95
2017-06,20,22,32,27,96
2017-07,17,20,34,27,94
2017-08,17,22,39,26,97
2017-09,15,17,34,22,81
2017-10,12,18,33,18,75
2017-11,10,12,24,15,57
2017-12,8,11,20,11,45
2018-01,17,16,31,25,82
2018-02,13,16,27,25,73
2018-03,14,19,27,21,71
2018-04,15,19,32,28,88
2018-05,18,19,30,25,85
2018-06,16,18,32,25,84
2018-07,16,19,31,26,83
2018-08,12,20,30,24,79
2018-09,13,16,30,20,72
2018-10,9,15,28,15,60
2018-11,9,15,25,14,57
2018-12,9,12,21,12,51
2019-01,12,15,25,20,61
2019-02,11,19,27,20,69
2019-03,11,16,26,25,70
2019-04,13,18,26,28,76
2019-05,14,17,27,24,72
2019-06,14,18,26,24,73
2019-07,12,17,26,23,71
2019-08,11,16,27,23,69
2019-09,11,16,31,22,77
2019-10,11,15,26,13,57
2019-11,9,9,22,13,48
2019-12,7,10,20,11,45
2020-01,12,13,25,20,65
2020-02,11,13,22,21,63
2020-03,7,10,18,12,41
2020-04,7,9,17,8,37
2020-05,6,10,19,9,42
2020-06,7,13,19,10,47
2020-07,8,13,20,14,49
2020-08,9,11,18,14,49
2020-09,8,11,21,13,47
2020-10,6,8,20,10,40
2020-11,5,7,19,8,35
2020-12,5,9,14,7,32
2021-01,7,8,16,9,36
2021-02,6,9,17,10,38
2021-03,8,11,20,13,47
2021-04,7,12,20,15,49
2021-05,10,10,21,15,49
2021-06,10,9,21,15,51
2021-07,8,13,20,15,51
2021-08,10,12,21,15,51
2021-09,10,13,25,15,54
2021-10,7,9,22,14,46
2021-11,9,8,21,10,41
2021-12,6,8,16,8,34
2022-01,9,12,20,16,51
2022-02,8,10,17,13,45
2022-03,8,10,15,20,49
2022-04,10,11,18,18,51
2022-05,9,11,17,17,49
2022-06,8,10,17,19,49
2022-07,7,11,18,21,50
2022-08,9,13,19,18,50
2022-09,8,11,19,15,45
2022-10,7,8,18,13,40
2022-11,5,7,17,11,35
2022-12,4,6,15,9,30
2023-01,9,8,17,14,41
2023-02,7,9,19,17,48
2023-03,7,9,15,17,43
2023-04,6,10,17,17,46
2023-05,7,9,17,17,44
2023-06,8,7,17,15,42
2023-07,7,10,15,13,40
2023-08,6,10,15,13,40
2023-09,6,8,13,11,32
2023-10,5,6,15,8,31
2023-11,5,8,15,9,35
2023-12,5,7,13,7,29
2024-01,7,9,16,12,41
2024-02,6,8,15,11,36
2024-03,5,6,8,11,26
2024-04,4,6,9,9,20
2024-05,0,6,4,7,17
2024-06,4,8,7,10,24
2024-07,0,9,7,5,23
2024-08,6,8,14,12,33
2024-09,5,6,11,11,31
2024-10,4,6,12,8,30
2024-11,4,6,11,8,29
2024-12,5,4,9,7,23
2025-01,5,7,12,8,30
2025-02,6,8,13,10,35
2025-03,5,7,13,12,39
2025-04,6,11,11,11,38
2025-05,5,8,11,10,32
2025-06,6,7,12,10,31
2025-07,7,10,12,12,36
2025-08,6,8,14,24,48
2025-09,0,0,0,16,32
